16:45:30 [Kapak hazırlandı] Managed: 1 MB | Process: 151 MB
16:45:30 [Revizyon Tablosu hazırlandı] Managed: 1 MB | Process: 151 MB
16:45:30 [İncelenen Dökümanlar hazırlandı] Managed: 1 MB | Process: 151 MB
16:45:30 [Header/Footer hazırlandı] Managed: 1 MB | Process: 152 MB
16:45:30 [Makine görselleri eklendi] Managed: 1 MB | Process: 152 MB
16:45:30 [Otomatik tablolar eklendi] Managed: 1 MB | Process: 152 MB
16:45:32 [Bölge 1 - Risk 27 (Risk 1) eklendi] Managed: 2 MB | Process: 237 MB
16:45:32 [Bölge 1 - Risk 28 (Risk 2) eklendi] Managed: 2 MB | Process: 237 MB
16:45:32 [Bölge 1 - Risk 29 (Risk 3) eklendi] Managed: 2 MB | Process: 237 MB
16:45:32 [Bölge 1 - Risk 30 (Risk 4) eklendi] Managed: 2 MB | Process: 237 MB
16:45:33 [Bölge 1 - Risk 31 (Risk 5) eklendi] Managed: 2 MB | Process: 211 MB
16:45:33 [Bölge 1 - Risk 32 (Risk 6) eklendi] Managed: 2 MB | Process: 186 MB
16:45:33 [Bölge 1 - Risk 33 (Risk 7) eklendi] Managed: 2 MB | Process: 184 MB
16:45:33 [Bölge 1 - Risk 34 (Risk 8) eklendi] Managed: 2 MB | Process: 184 MB
16:45:33 [Bölge 1 - Risk 35 (Risk 9) eklendi] Managed: 2 MB | Process: 185 MB
16:45:33 [Bölge 1 - Risk 36 (Risk 10) eklendi] Managed: 2 MB | Process: 185 MB
16:45:33 [Bölge 1 - Risk 37 (Risk 11) eklendi] Managed: 2 MB | Process: 185 MB
16:45:33 [Bölge 1 - Risk 38 (Risk 12) eklendi] Managed: 2 MB | Process: 185 MB
16:45:33 [AltChunk ile birleştirme başlıyor] Managed: 2 MB | Process: 185 MB
16:45:35 [AltChunk ile birleştirme bitti (Rapor tamamlandı)] Managed: 2 MB | Process: 295 MB
16:45:35 [Temp dosyalar silindi (İşlem bitti)] Managed: 2 MB | Process: 295 MB
16:46:45 [Başlangıç] Managed: 1 MB | Process: 289 MB
16:46:45 [Kapak hazırlandı] Managed: 1 MB | Process: 289 MB
16:46:45 [Revizyon Tablosu hazırlandı] Managed: 1 MB | Process: 289 MB
16:46:45 [İncelenen Dökümanlar hazırlandı] Managed: 1 MB | Process: 289 MB
16:46:45 [Header/Footer hazırlandı] Managed: 1 MB | Process: 262 MB
16:46:45 [Makine görselleri eklendi] Managed: 1 MB | Process: 233 MB
16:46:45 [Otomatik tablolar eklendi] Managed: 2 MB | Process: 233 MB
16:46:47 [Bölge 1 - Risk 27 (Risk 1) eklendi] Managed: 2 MB | Process: 246 MB
16:46:47 [Bölge 1 - Risk 28 (Risk 2) eklendi] Managed: 2 MB | Process: 246 MB
16:46:47 [Bölge 1 - Risk 29 (Risk 3) eklendi] Managed: 2 MB | Process: 220 MB
16:46:47 [Bölge 1 - Risk 30 (Risk 4) eklendi] Managed: 2 MB | Process: 220 MB
16:46:47 [Bölge 1 - Risk 31 (Risk 5) eklendi] Managed: 2 MB | Process: 220 MB
16:46:47 [Bölge 1 - Risk 32 (Risk 6) eklendi] Managed: 2 MB | Process: 195 MB
16:46:47 [Bölge 1 - Risk 33 (Risk 7) eklendi] Managed: 2 MB | Process: 199 MB
16:46:47 [Bölge 1 - Risk 34 (Risk 8) eklendi] Managed: 2 MB | Process: 199 MB
16:46:47 [Bölge 1 - Risk 35 (Risk 9) eklendi] Managed: 2 MB | Process: 198 MB
16:46:48 [Bölge 1 - Risk 36 (Risk 10) eklendi] Managed: 2 MB | Process: 198 MB
16:46:48 [Bölge 1 - Risk 37 (Risk 11) eklendi] Managed: 2 MB | Process: 198 MB
16:46:48 [Bölge 1 - Risk 38 (Risk 12) eklendi] Managed: 2 MB | Process: 198 MB
16:46:48 [AltChunk ile birleştirme başlıyor] Managed: 2 MB | Process: 198 MB
16:46:49 [AltChunk ile birleştirme bitti (Rapor tamamlandı)] Managed: 1 MB | Process: 318 MB
16:46:49 [Temp dosyalar silindi (İşlem bitti)] Managed: 1 MB | Process: 318 MB
16:50:46 [Başlangıç] Managed: 1 MB | Process: 143 MB
16:50:46 [Kapak hazırlandı] Managed: 1 MB | Process: 152 MB
16:50:46 [Revizyon Tablosu hazırlandı] Managed: 1 MB | Process: 152 MB
16:50:46 [İncelenen Dökümanlar hazırlandı] Managed: 1 MB | Process: 152 MB
16:50:46 [Header/Footer hazırlandı] Managed: 1 MB | Process: 153 MB
16:50:46 [Makine görselleri eklendi] Managed: 1 MB | Process: 153 MB
16:50:46 [Otomatik tablolar eklendi] Managed: 2 MB | Process: 154 MB
16:50:48 [Bölge 1 - Risk 27 (Risk 1) eklendi] Managed: 2 MB | Process: 220 MB
16:50:48 [Bölge 1 - Risk 28 (Risk 2) eklendi] Managed: 2 MB | Process: 220 MB
16:50:48 [Bölge 1 - Risk 29 (Risk 3) eklendi] Managed: 2 MB | Process: 220 MB
16:50:48 [Bölge 1 - Risk 30 (Risk 4) eklendi] Managed: 2 MB | Process: 195 MB
16:50:48 [Bölge 1 - Risk 31 (Risk 5) eklendi] Managed: 2 MB | Process: 195 MB
16:50:48 [Bölge 1 - Risk 32 (Risk 6) eklendi] Managed: 2 MB | Process: 168 MB
